Station_Name,Address,City,State_Province,Zip_Postal_Code,Start_Date___Time,Start_Time_Zone,End_Date___Time,End_Time_Zone,Total_Duration__hh_mm_ss_,Charging_Time__hh_mm_ss_,Energy__kWh_,GHG_Savings__kg_,Gasoline_Savings__gallons_,Port_Type,ObjectId,Full_Address
BOULDER / BASELINE ST1,900 Baseline Rd,Boulder,Colorado,80302,2018/01/20 07:29:00+00,MDT,2018/01/20 09:22:00+00,MDT,1:52:59,1:52:41,29372,1.936,0.578,Level 2,1,"900 Baseline Rd, Boulder, Colorado"
BOULDER / JUNCTION ST1,2280 Junction Pl,Boulder,Colorado,80301,2018/01/20 11:51:00+00,MDT,2018/01/20 12:54:00+00,MDT,1:03:01,1:02:50,3788,2.075,0.62,Level 2,3,"2280 Junction Pl, Boulder, Colorado"
BOULDER / REC CENTER ST1,1360 Gillaspie Dr,Boulder,Colorado,80305,2018/01/20 14:54:00+00,MDT,2018/01/20 15:52:00+00,MDT,0:58:33,0:58:25,8619,1.27,0.379,Level 2,5,"1360 Gillaspie Dr, Boulder, Colorado"
BOULDER / ATRIUM ST1,1770 13th St,Boulder,Colorado,80302,2018/01/22 10:04:00+00,MDT,2018/01/22 16:15:00+00,MDT,6:11:13,2:06:43,11400,2.78,0.831,Level 2,9,"1770 13th St, Boulder, Colorado"
BOULDER / FACILITIES ST1,1745 14th street,Boulder,Colorado,80302,2018/01/22 11:22:00+00,MDT,2018/01/23 09:41:00+00,MDT,22:18:26,2:14:06,6162,2.013,0.601,Level 2,10,"1745 14th street, Boulder, Colorado"
BOULDER / ALPINE ST1,1275 Alpine Ave,Boulder,Colorado,80304,2018/01/22 14:00:00+00,MDT,2018/01/22 15:19:00+00,MDT,1:19:03,1:18:47,7186,2.006,0.599,Level 2,12,"1275 Alpine Ave, Boulder, Colorado"
COMM VITALITY / 1500PEARL2,1500 Pearl St,Boulder,Colorado,80302,2018/01/25 09:50:00+00,MDT,2018/01/25 09:58:00+00,MDT,0:08:32,0:08:02,14845,0.333,0.099,Level 2,36,"1500 Pearl St, Boulder, Colorado"
COMM VITALITY / 1104 SPRUCE1,1100 Spruce St,Boulder,Colorado,80302,2018/01/25 10:14:00+00,MDT,2018/01/25 10:16:00+00,MDT,0:02:07,0:01:46,28139,0.072,0.022,Level 2,38,"1100 Spruce St, Boulder, Colorado"
COMM VITALITY / 1000WALNUT2,900 Walnut St,Boulder,Colorado,80302,2018/01/25 10:21:00+00,MDT,2018/01/25 10:23:00+00,MDT,0:02:05,0:01:38,12124,0.069,0.021,Level 2,39,"900 Walnut St, Boulder, Colorado"
COMM VITALITY / 1400 WALNUT1,1400 Walnut St,Boulder,Colorado,80302,2018/01/25 10:33:00+00,MDT,2018/01/25 10:34:00+00,MDT,0:01:15,0:00:40,15972,0.026,0.008,Level 2,41,"1400 Walnut St, Boulder, Colorado"
COMM VITALITY / BOULDER JCTN,2052 Junction Pl,Boulder,Colorado,80301,2018/04/04 18:46:00+00,MDT,2018/04/04 19:56:00+00,MDT,1:09:57,1:09:43,16542,1.248,0.373,Level 2,804,"2052 Junction Pl, Boulder, Colorado"
COMM VITALITY / 1100WALNUT1,1100 Walnut,Boulder,Colorado,80302,2018/04/06 13:42:00+00,MDT,2018/04/06 17:02:00+00,MDT,3:20:11,1:42:38,25230,2.416,0.722,Level 2,827,"1100 Walnut, Boulder, Colorado"
BOULDER / ANNEX ST1,7315 Red Deer Dr,Boulder,Colorado,80301,2018/03/26 15:33:00+00,MDT,2018/03/26 15:35:00+00,MDT,0:01:59,0:00:00,185,0,0,Level 2,1079,"7315 Red Deer Dr, Boulder, Colorado"
BOULDER / N BOULDER REC 1,3172 Broadway,Boulder,Colorado,80304,2018/08/23 08:26:00+00,MDT,2018/08/23 09:34:00+00,MDT,1:07:50,0:49:25,45043,0.916,0.274,Level 2,3388,"3172 Broadway, Boulder, Colorado"
BOULDER / BOULDER PARK S2,1739 Broadway,Boulder,Colorado,80302,2018/08/21 14:52:00+00,MDT,2018/08/22 12:07:00+00,MDT,21:15:47,0:28:06,2832,0.961,0.287,Level 2,3500,"1739 Broadway, Boulder, Colorado"
COMM VITALITY / 2200 BROADWAY1,2150 13th St,Boulder,Colorado,80302,2018/12/07 14:12:00+00,MDT,2018/12/07 15:02:00+00,MDT,0:50:08,0:50:02,377,2.157,0.645,Level 2,6293,"2150 13th St, Boulder, Colorado"
BOULDER / EAST REC,5660 Sioux Dr,Boulder,Colorado,80303,2019/01/14 14:05:00+00,MDT,2019/01/14 15:07:00+00,MDT,1:01:37,1:00:31,11104,2.514,0.751,Level 2,6932,"5660 Sioux Dr, Boulder, Colorado"
BOULDER / RESERVOIR ST1,5565 51st St,Boulder,Colorado,80301,2020/05/23 09:00:00+00,MDT,2020/05/23 10:16:00+00,MDT,1:16:30,1:16:11,3751,1.615,0.483,Level 2,19601,"5565 51st St, Boulder, Colorado"
BOULDER / CARPENTER PARK1,1505 30th St,Boulder,Colorado,80303,2020/08/09 18:16:00+00,MDT,2020/08/09 18:45:00+00,MDT,0:29:01,0:28:51,24379,1.15,0.344,Level 2,20463,"1505 30th St, Boulder, Colorado"
BOULDER / AIRPORT ST1,3335 Airport Rd,Boulder,Colorado,80301,2020/12/23 10:59:00+00,MDT,2020/12/23 11:01:00+00,MDT,0:02:00,0:00:00,5468,0,0,Level 2,22481,"3335 Airport Rd, Boulder, Colorado"
BOULDER / BASELINE ST1,600 Baseline Rd,Boulder,Colorado,80302,2021/06/01 07:38:00+00,MDT,2021/06/01 08:35:00+00,MDT,0:56:25,0:56:04,29372,4.369,0.772,Level 2,25415,"600 Baseline Rd, Boulder, Colorado"
COMM VITALITY / 5050 PEARL 1,5050 Pearl St,Boulder,Colorado,80301,2021/06/10 07:12:00+00,MDT,2021/06/10 08:48:00+00,MDT,1:35:55,1:35:41,400,3.209,0.567,Level 2,25698,"5050 Pearl St, Boulder, Colorado"
BOULDER / ALPINE ST1,2667 Broadway,Boulder,Colorado,80304,2021/06/18 18:07:00+00,MDT,2021/06/18 20:56:00+00,MDT,2:49:23,2:36:32,7186,5.196,0.918,Level 2,26163,"2667 Broadway, Boulder, Colorado"
COMM VITALITY / 2200 BROADWAY1,2240 Broadway,Boulder,Colorado,80302,2021/07/18 09:10:00+00,MDT,2021/07/18 10:58:00+00,MDT,1:47:58,1:09:58,377,5.089,0.899,Level 2,27226,"2240 Broadway, Boulder, Colorado"
BOULDER / VALMONT ST2,5333 Valmont Rd,Boulder,Colorado,80301,2021/12/04 16:05:00+00,MST,2021/12/04 16:29:00+00,MST,0:23:33,0:23:23,4386,1.641,0.29,Level 2,32567,"5333 Valmont Rd, Boulder, Colorado"
